t,value
0,0.000000
1,0.119153
2,0.232506
3,0.335137
4,0.423741
5,0.497090
6,0.556165
7,0.603912
8,0.644682
9,0.683435
10,0.724855
11,0.772505
12,0.828179
13,0.891551
14,0.960175
15,1.029851
16,1.095279
17,1.150904
18,1.191811
19,1.214520
20,1.217548
21,1.201644
22,1.169668
23,1.126119
24,1.076400
25,1.025946
26,0.979341
27,0.939591
28,0.907665
29,0.882371
30,0.860605
31,0.837919
32,0.809311
33,0.770121
34,0.716866
35,0.647889
36,0.563703
37,0.466988
38,0.362214
39,0.254988
40,0.151202
41,0.056137
42,-0.026333
43,-0.094298
44,-0.148053
45,-0.189967
46,-0.224018
47,-0.255053
48,-0.287922
49,-0.326598
50,-0.373458
51,-0.428830
52,-0.490880
53,-0.555869
54,-0.618723
55,-0.673841
56,-0.715982
57,-0.741110
58,-0.747043
59,-0.733794
60,-0.703565
61,-0.660375
62,-0.609403
63,-0.556135
64,-0.505475
65,-0.460955
66,-0.424176
67,-0.394582
68,-0.369592
69,-0.345073
70,-0.316077
71,-0.277722
72,-0.226055
73,-0.158781
74,-0.075705
75,0.021158
76,0.127847
77,0.239030
78,0.348809
79,0.451620
80,0.543074
81,0.620598
82,0.683787
83,0.734386
84,0.775923
85,0.813048
86,0.850685
87,0.893145
88,0.943341
89,1.002242
90,1.068649
91,1.139337
92,1.209538
93,1.273686
94,1.326297
95,1.362839
96,1.380462
97,1.378438
98,1.358272
99,1.323436
100,1.278792
101,1.229790
102,1.181570
103,1.138129
104,1.101677
105,1.072300
106,1.047980
107,1.024970
108,0.998458
109,0.963418
110,0.915497
111,0.851797
112,0.771423
113,0.675694
114,0.568000
115,0.453316
116,0.337449
117,0.226161
118,0.124290
119,0.035030
120,-0.040513
121,-0.103428
122,-0.156732
123,-0.204793
124,-0.252528
125,-0.304509
126,-0.364131
127,-0.432985
128,-0.510519
129,-0.594072
130,-0.679253
131,-0.760617
132,-0.832519
133,-0.890005
134,-0.929594
135,-0.949826
136,-0.951478
137,-0.937411
138,-0.912090
139,-0.880832
140,-0.848925
141,-0.820759
142,-0.799112
143,-0.784707
144,-0.776118
145,-0.770037
146,-0.761864
147,-0.746507
148,-0.719276
149,-0.676718
150,-0.617243
151,-0.541449
152,-0.452097
153,-0.353713
154,-0.251919
155,-0.152572
156,-0.060875
157,0.019413
158,0.086512
159,0.140839
160,0.184860
161,0.222595
162,0.258878
163,0.298474
164,0.345215
165,0.401291
166,0.466815
167,0.539739
168,0.616132
169,0.690766
170,0.757937
171,0.812355
172,0.849977
173,0.868644
174,0.868399
175,0.851461
176,0.821831
177,0.784616
178,0.745178
179,0.708242
180,0.677117
